Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2026-02-28,16:07 ,"Snacks","Cheater shake + MCT","1.00 full recipe",1725.00,0.00,0.00,0.00,0.00,1077.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.49,0.00,3.71,53.86,0.00,0.00,706.14,5.39,897.59,0.00,174.72,195.33,20.62,0.00,0.00,0.00,12.88,27.37,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.77,0.00,0.00,0.00,0.00,""
2026-02-28,16:08 ,"Snacks","Ghost, Whey Clear Protein Isolate, Strawberry Watermelon","1.00 rounded scoop",100.00,,,,,,,,,,,,,,,0.00,,,10.00,,0.00,,,,20.00,,10.00,,1.00,1.00,0.00,,,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,25.00,,,,,"Supplements"
2026-02-28,16:10 ,"Snacks","Isopure, Infusions, Protein Powder, Citrus Lemonade","45.00 g",162.00,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,,3.60,3.60,,,,,1.80,0.00,18.00,,,,,,,,,,,,,,,,,,,36.00,,,,,"Supplements"
2026-02-28,16:11 ,"Snacks","Bibigo, Cooked Sticky White Rice","1.00 bowl",310.00,,,,,,,,,,,,,,,0.00,,,0.00,,0.36,,,,0.00,,10.00,,68.00,71.00,3.00,,,,0.00,1.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,6.00,,,,,"Cereal Grains and Pasta"
2026-02-28,16:11 ,"Snacks","Kevin’s, Paleo Korean BBQ-Style Chicken","2.00 x 5.0 oz",300.00,,,,,,,,,,,,,,,0.00,,,20.00,,0.00,,,,1122.00,,1260.00,,14.00,14.00,0.00,,,,10.00,7.00,120.00,,,1.00,0.00,,,,,,,,,,,,,,,40.00,,,,,"Meals, Entrees, and Sidedishes"
2026-02-28,16:12 ,"Snacks","Olive Oil","1.50 tbsp",179.01,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.91,12.19,0.20,0.00,0.11,0.00,0.00,0.00,0.20,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.25,0.00,14.77,2.13,2.80,0.03,0.15,0.15,0.00,0.00,1.98,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-02-28,16:17 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
